Id,SalePrice
1461,149552.31
1462,137468.33
1463,122971.04
1464,245683.6
1465,152195.22
1466,190743.66
1467,214334.78
1468,115364.14
1469,175227.56
1470,165529.17
1471,149096.53
1472,128768.14
1473,173755.88
1474,189955.53
1475,91249.16
1476,195468.92
1477,246033.02
1478,119431.695
1479,203426.19
1480,260396.05
1481,201030.44
1482,206709.16
1483,229564.03
1484,198703.2
1485,147029.6
1486,108257.39
1487,116683.56
1488,173982.36
1489,158604.81
1490,172688.34
1491,154855.94
1492,103227.52
1493,181738.52
1494,193184.84
1495,251283.97
1496,135102.6
1497,185396.4
1498,224690.94
1499,129332.53
1500,177611.72
1501,130730.55
1502,161749.88
1503,136777.06
1504,143030.92
1505,154628.7
1506,125749.13
1507,124926.55
1508,243334.1
1509,176434.34
1510,164756.3
1511,174788.97
1512,132272.05
1513,113230.695
1514,111948.33
1515,136716.75
1516,122513.81
1517,134046.5
1518,142702.69
1519,193595.9
1520,130744.76
1521,171886.72
1522,191988.25
1523,168177.16
1524,223135.12
1525,118900.14
1526,232481.72
1527,116274.234
1528,196939.55
1529,128348.19
1530,207211.69
1531,192417.14
1532,189421.02
1533,146579.14
1534,188023.0
1535,100340.06
1536,214026.08
1537,124600.16
1538,243796.28
1539,159792.69
1540,98007.66
1541,202880.47
1542,206181.34
1543,282416.34
1544,122613.34
1545,177850.5
1546,96936.97
1547,169817.1
1548,181405.73
1549,175917.97
1550,158620.06
1551,124221.9
1552,194444.84
1553,146413.1
1554,142063.31
1555,129665.52
1556,132277.44
1557,141931.95
1558,132755.16
1559,128408.03
1560,212248.16
1561,140981.83
1562,138055.89
1563,89576.734
1564,217145.6
1565,101967.91
1566,178173.73
1567,163918.19
1568,190006.52
1569,80030.734
1570,231117.16
1571,178068.52
1572,183013.14
1573,151019.56
1574,108536.57
1575,167656.81
1576,163183.66
1577,134859.12
1578,94490.39
1579,160593.62
1580,107994.875
1581,125108.07
1582,150995.0
1583,168768.12
1584,209111.48
1585,190489.81
1586,131758.2
1587,130382.445
1588,204902.28
1589,107342.0
1590,62680.266
1591,123471.74
1592,166307.97
1593,129915.836
1594,211933.11
1595,195760.08
1596,177670.78
1597,193260.83
1598,180595.55
1599,182114.12
1600,155189.14
1601,133225.28
1602,239191.88
1603,142822.19
1604,160424.11
1605,254186.0
1606,196414.78
1607,174438.19
1608,164317.67
1609,136311.67
1610,178146.89
1611,109043.52
1612,98695.71
1613,180662.4
1614,178988.6
1615,182377.56
1616,110157.51
1617,150977.44
1618,112690.03
1619,125799.016
1620,166090.5
1621,200664.2
1622,209244.75
1623,158588.11
1624,216150.5
1625,155521.78
1626,120134.11
1627,213449.9
1628,151822.81
1629,130503.414
1630,224228.03
1631,125267.53
1632,128248.97
1633,221781.66
1634,221560.22
1635,181895.03
1636,255803.25
1637,61090.64
1638,162608.06
1639,254904.66
1640,218733.53
1641,193779.06
1642,110784.28
1643,156986.52
1644,165763.19
1645,223181.19
1646,196304.94
1647,121905.44
1648,175921.25
1649,232061.17
1650,100646.81
1651,189663.34
1652,192789.34
1653,138702.7
1654,194960.12
1655,184482.06
1656,144844.25
1657,151088.45
1658,196640.97
1659,141526.64
1660,189334.06
1661,282674.34
1662,171939.2
1663,242590.25
1664,178887.81
1665,190961.25
1666,155018.08
1667,173399.25
1668,226879.95
1669,205009.9
1670,264794.53
1671,212719.22
1672,212052.34
1673,224061.95
1674,189291.53
1675,184191.55
1676,208972.66
1677,204119.8
1678,167187.05
1679,252142.0
1680,180231.06
1681,279631.34
1682,232069.84
1683,219401.0
1684,86672.79
1685,142112.4
1686,201761.78
1687,111696.766
1688,129859.59
1689,125536.61
1690,183129.33
1691,160637.94
1692,183358.16
1693,140532.1
1694,140339.03
1695,233716.97
1696,318925.44
1697,158438.9
1698,171363.11
1699,169473.94
1700,202209.69
1701,113876.4
1702,182850.95
1703,224921.77
1704,195199.4
1705,144891.12
1706,231274.44
1707,174474.39
1708,217054.16
1709,275783.6
1710,227294.44
1711,147354.47
1712,154805.6
1713,221069.06
1714,201631.38
1715,100555.78
1716,226569.22
1717,182777.08
1718,154755.34
1719,183120.61
1720,131343.12
1721,143424.34
1722,153522.38
1723,153176.36
1724,292653.38
1725,138508.1
1726,221759.7
1727,202633.81
1728,154785.97
1729,116937.99
1730,183642.81
1731,174471.33
1732,190472.97
1733,145847.31
1734,184389.55
1735,128440.75
1736,149096.75
1737,163830.1
1738,195646.5
1739,256214.9
1740,128850.83
1741,127280.59
1742,130403.3
1743,140126.33
1744,247477.27
1745,183323.48
1746,130904.27
1747,186314.84
1748,201269.0
1749,187304.58
1750,163039.67
1751,210489.31
1752,138686.56
1753,110681.58
1754,245568.38
1755,177708.28
1756,79274.66
1757,88219.36
1758,90278.28
1759,143934.81
1760,185650.58
1761,225172.25
1762,150124.94
1763,208013.86
1764,159235.22
1765,154811.14
1766,222079.62
1767,143813.84
1768,117957.89
1769,156807.42
1770,164736.62
1771,201781.4
1772,165409.39
1773,146877.27
1774,132219.34
1775,252159.53
1776,64138.75
1777,198883.03
1778,136302.34
1779,143862.06
1780,236868.1
1781,156094.56
1782,110866.64
1783,145566.08
1784,96496.92
1785,120498.7
1786,143819.47
1787,157533.03
1788,59098.793
1789,158664.72
1790,203270.75
1791,200587.5
1792,140549.86
1793,53760.895
1794,83263.78
1795,179433.31
1796,164267.7
1797,95696.91
1798,160420.88
1799,155569.12
1800,175090.5
1801,273650.34
1802,158702.08
1803,215377.66
1804,115495.58
1805,129014.58
1806,237775.22
1807,130878.27
1808,115555.11
1809,215900.36
1810,131807.9
1811,113371.92
1812,165566.22
1813,143435.34
1814,153831.97
1815,89954.74
1816,102902.77
1817,166172.44
1818,169797.78
1819,188507.58
1820,106561.84
1821,143373.84
1822,124474.72
1823,128270.11
1824,261055.22
1825,193009.34
1826,176350.38
1827,99144.12
1828,103179.484
1829,195395.0
1830,142750.06
1831,165985.8
1832,239811.06
1833,196607.38
1834,220697.28
1835,181825.56
1836,163167.94
1837,164386.47
1838,119592.65
1839,211606.44
1840,156139.36
1841,144740.5
1842,152195.78
1843,175578.69
1844,131797.11
1845,105937.92
1846,160644.58
1847,118756.5
1848,113271.14
1849,189964.38
1850,217814.61
1851,73054.44
1852,128194.695
1853,169514.53
1854,205713.94
1855,150364.33
1856,141682.14
1857,218654.03
1858,162891.78
1859,152385.78
1860,107267.195
1861,119541.66
1862,217165.1
1863,202519.67
1864,279346.25
1865,217145.16
1866,252222.38
1867,217998.97
1868,217492.78
1869,210440.31
1870,139715.28
1871,204882.28
1872,234418.5
1873,235328.5
1874,147874.22
1875,151142.84
1876,161135.25
1877,188739.55
1878,117416.08
1879,155318.77
1880,227663.53
1881,150452.34
1882,162188.33
1883,152339.0
1884,273105.88
1885,136608.62
1886,153317.3
1887,130288.555
1888,126754.36
1889,140110.44
1890,130761.96
1891,159793.55
1892,180577.64
1893,168279.25
1894,142224.12
1895,139713.27
1896,116134.5
1897,216766.47
1898,190312.23
1899,227767.66
1900,118543.766
1901,117113.51
1902,229531.28
1903,238700.28
1904,206921.62
1905,153700.28
1906,141606.88
1907,132589.44
1908,111731.55
1909,162192.84
1910,212486.9
1911,153971.16
1912,181013.19
1913,154911.02
1914,161818.97
1915,190470.6
1916,85313.47
1917,239895.22
1918,88086.78
1919,243589.05
1920,187796.95
1921,294196.84
1922,209501.8
1923,209542.12
1924,109519.805
1925,228783.17
1926,216440.67
1927,159945.31
1928,126827.82
1929,155054.0
1930,101067.5
1931,117087.57
1932,181583.62
1933,173479.95
1934,212226.84
1935,224392.44
1936,102923.664
1937,175621.72
1938,180334.5
1939,160680.62
1940,180201.33
1941,223398.1
1942,185434.16
1943,135651.05
1944,202196.19
1945,286945.72
1946,205761.19
1947,206326.5
1948,211457.84
1949,162384.88
1950,115528.16
1951,226437.47
1952,208306.58
1953,177158.56
1954,186846.28
1955,205257.12
1956,175403.3
1957,158947.33
1958,280149.6
1959,123463.31
1960,158838.42
1961,148356.12
1962,158138.8
1963,151912.89
1964,146403.42
1965,86817.19
1966,124476.984
1967,246612.66
1968,234333.4
1969,194555.39
1970,222738.14
1971,231110.33
1972,285630.72
1973,210413.73
1974,222460.03
1975,168765.02
1976,255295.19
1977,241706.7
1978,168698.55
1979,285459.44
1980,189049.62
1981,141693.5
1982,167666.08
1983,174814.72
1984,94579.53
